# JULens Korean company-name reference
# Snapshot source: Naver Pay Securities US stock catalog (NASDAQ/NYSE/AMEX), 2026-08-15
# Format: ticker<TAB>display name
ASM	아비노 실버 & 골드 마인스
ASMB	어셈블리 바이오사이언시스
ASND	어센디스 파마 ADR
ASO	아카데미 스포츠 앤 아웃도어스
ASPC	에이 스펙 III 애퀴지션
ASPI	ASP 아이소토프
ASPN	아스펜 에어로젤
ASPS	알티소스 포트폴리오 솔루션스
ASRV	아메리서브 파이낸셜
ASST	스트라이브
ASTC	애스트로테크
ASTE	아스텍 인더스트리스
ASTH	아스트라나 헬스
ASTI	어센트 솔라 테크놀로지스
ASTL	알고마 스틸 그룹
ASTS	AST 스페이스모바일
ASUR	어슈어 소프트웨어
ASYS	암테크 시스템즈
ATAI	아타이버클리
ATCH	아틀라스클리어 홀딩스
ATCX	아틀라스 크리티컬 미네랄스
ATEC	알파텍 홀딩스
ATEN	A10 네트웍스
ATER	아테리안
ATEX	안테릭스
ATGL	알파 테크놀로지 그룹
ATHR	애더 홀딩스
ATI	ATI
ATII	아르키메데스 테크 SPAC 파트너스 II
ATKR	앳코어
ATLC	아틀란티쿠스 홀딩스
ATLO	에임스 내셔널
ATLX	아틀라스 리튬
ATMU	아트무스 필트레이션 테크놀로지스
ATNI	ATN 인터내셔널
ATNM	악티늄 파마슈티컬스
ATO	애트모스 에너지
ATOM	아토메라
ATOS	아토사 테라퓨틱스
ATPC	아가페 ATP
ATR	아프타그룹
ATRA	아타라 바이오테라퓨틱스
ATRC	아트리큐어
ATRO	아스트로닉스
ATS	ATS
ATTO	아토비아 테라퓨틱스
ATXG	애든택스 그룹
ATYR	에이타이르 파르마
AU	앵글로골드 아샨티
AUB	아틀란틱 유니온 뱅크셰어스
AUBN	어번 내셔널 뱅코프
AUC	ATIF 홀딩스
AUDC	오디오코드
AUGO	아우라 미네랄스
AUID	오스아이디
AUNA	아우나
AUPH	오리니아 파마슈티컬스
AUR	오로라 이노베이션
AURA	오라 바이오사이언시스
AURE	아우렐리온
AUST	오스틴 골드
AUUD	아우디아
AVA	아비스타
AVAH	애비애나 헬스케어 홀딩스
AVAT	애벌랜치 트레저리
AVAV	에어로바이런먼트
AVBC	애비디아 뱅코프
AVBH	애비드뱅크 홀딩스
AVBP	어라이번트 바이오파마
AVD	아메리칸 뱅가드
